*** Booting nRF Connect SDK v3.0.2-89ba1294ac9b ***
*** Using Zephyr OS v4.0.99-f791c49f492c ***
Enhanced ShockBurst prx sample
TX Performance test and RSSI value
[PRX] Version: 3 | Build: Jul  3 2025 09:07:16
Board: nrf54l15dk
Device ID: 416016678
Check FEM TX support
FEM TX support: disabled
Using 1 Mbps bitrate
HF clock started
Set TX power to: 8 dBm (0x08)
Initialization complete
Setting up for packet receiption
----------------------
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 50 | TX: 22 dBm | RSSI:-65 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 51 | TX: 22 dBm | RSSI:-64 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 52 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 53 | TX: 22 dBm | RSSI:-73 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 54 | TX: 22 dBm | RSSI:-63 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 55 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 56 | TX: 22 dBm | RSSI:-64 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 57 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 58 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 59 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 60 | TX: 22 dBm | RSSI:-58 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 61 | TX: 22 dBm | RSSI:-55 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 62 | TX: 22 dBm | RSSI:-57 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 63 | TX: 22 dBm | RSSI:-60 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 64 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 65 | TX: 22 dBm | RSSI:-66 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 66 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 67 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 68 | TX: 22 dBm | RSSI:-79 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 69 | TX: 22 dBm | RSSI:-69 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 70 | TX: 22 dBm | RSSI:-87 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 71 | TX: 22 dBm | RSSI:-83 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 72 | TX: 22 dBm | RSSI:-88 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 73 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 74 | TX: 22 dBm | RSSI:-83 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 75 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 76 | TX: 22 dBm | RSSI:-78 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 77 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 78 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 79 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 80 | TX: 22 dBm | RSSI:-69 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 81 | TX: 22 dBm | RSSI:-77 dBm (Very Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 82 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 83 | TX: 22 dBm | RSSI:-70 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 84 | TX: 22 dBm | RSSI:-65 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 85 | TX: 22 dBm | RSSI:-71 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 86 | TX: 22 dBm | RSSI:-68 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 87 | TX: 22 dBm | RSSI:-66 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 88 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 89 | TX: 22 dBm | RSSI:-69 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 90 | TX: 22 dBm | RSSI:-70 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 91 | TX: 22 dBm | RSSI:-74 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 92 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 93 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 94 | TX: 22 dBm | RSSI:-55 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 95 | TX: 22 dBm | RSSI:-63 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 96 | TX: 22 dBm | RSSI:-59 dBm (Fair)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 97 | TX: 22 dBm | RSSI:-64 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 98 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter: 99 | TX: 22 dBm | RSSI:-66 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:100 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:101 | TX: 22 dBm | RSSI:-65 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:102 | TX: 22 dBm | RSSI:-66 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:103 | TX: 22 dBm | RSSI:-61 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:104 | TX: 22 dBm | RSSI:-62 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:105 | TX: 22 dBm | RSSI:-65 dBm (Average)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:106 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:107 | TX: 22 dBm | RSSI:-68 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:108 | TX: 22 dBm | RSSI:-67 dBm (Weak)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:109 | TX: 22 dBm | RSSI:-82 dBm (Critical)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:110 | TX: 22 dBm | RSSI:-75 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:111 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:112 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:113 | TX: 22 dBm | RSSI:-72 dBm (Poor)
ID:510011128 | Board:nRF21540DK FEM Active | Counter:114 | TX: 22 dBm | RSSI:-75 dBm (Poor)
