*** Booting nRF Connect SDK v3.0.2-89ba1294ac9b ***
*** Using Zephyr OS v4.0.99-f791c49f492c ***
Enhanced ShockBurst prx sample
TX Performance test and RSSI value
[PRX] Version: 3 | Build: Jul  2 2025 19:05:39
Board: nrf54l15dk
Device ID: 416016678
Check FEM TX support
FEM TX support: disabled
Using 1 Mbps bitrate
HF clock started
Initialization complete
Setting up for packet receiption
----------------------
ID:3170380583 | Board:nRF54L15DK            | Counter: 51 | TX:  8 dBm | RSSI:-127 dBm (No Link)
ID:3170380583 | Board:nRF54L15DK            | Counter:214 | TX:  8 dBm | RSSI:-58 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:215 | TX:  8 dBm | RSSI:-54 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:216 | TX:  8 dBm | RSSI:-53 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:217 | TX:  8 dBm | RSSI:-54 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:218 | TX:  8 dBm | RSSI:-58 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:219 | TX:  8 dBm | RSSI:-71 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:220 | TX:  8 dBm | RSSI:-73 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:221 | TX:  8 dBm | RSSI:-72 dBm (Poor)
ID:3170380583 | Board:nRF54L15DK            | Counter:222 | TX:  8 dBm | RSSI:-54 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:223 | TX:  8 dBm | RSSI:-59 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:224 | TX:  8 dBm | RSSI:-64 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:225 | TX:  8 dBm | RSSI:-59 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:226 | TX:  8 dBm | RSSI:-60 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:227 | TX:  8 dBm | RSSI:-61 dBm (Average)
ID:3170380583 | Board:nRF54L15DK            | Counter:228 | TX:  8 dBm | RSSI:-60 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:229 | TX:  8 dBm | RSSI:-60 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:230 | TX:  8 dBm | RSSI:-60 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:231 | TX:  8 dBm | RSSI:-60 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:232 | TX:  8 dBm | RSSI:-60 dBm (Fair)
ID:3170380583 | Board:nRF54L15DK            | Counter:233 | TX:  8 dBm | RSSI:-60 dBm (Fair)
